title,description,url
heise online News,Nachrichten nicht nur aus der Welt der Computer,https://www.heise.de/newsticker/heise-atom.xml
Caschys Blog,"Web, Software, Hardware, Mobile Computing & Co",https://feeds2.feedburner.com/stadt-bremerhaven/dqXM
Mobilegeeks.de,"Mobile News, Smartphones, Tablets, Ultrabooks, Apps",https://www.mobilegeeks.de/feed/
GIGA,GIGA News Feed,http://www.giga.de/feed/
Golem.de,IT-News fuer Profis,https://rss.golem.de/rss.php
t3n RSS Feed - News,t3n digital pioneers - News,https://t3n.de/rss.xml
