title,description,url
SPIEGEL ONLINE - Schlagzeilen,"Deutschlands führende Nachrichtenseite. Alles Wichtige aus Politik, Wirtschaft, Sport, Kultur, Wissenschaft, Technik und mehr.",http://www.spiegel.de/schlagzeilen/index.rss
"ZEIT ONLINE | Nachrichten, Hintergründe und Debatten","Aktuelle Nachrichten, Kommentare, Analysen und Hintergrundberichte aus Politik, Wirtschaft, Gesellschaft, Wissen, Kultur und Sport",https://newsfeed.zeit.de/index
Nachrichten - WELT,Nachrichten - Aktuelle Nachrichten von WELT,https://www.welt.de/feeds/latest.rss
tagesschau.de,Die Nachrichten der ARD,https://www.tagesschau.de/xml/atom/
Aktuell - FAZ.NET,"News, Nachrichten und aktuelle Meldungen aus allen Ressorts. Politik, Wirtschaft, Sport, Feuilleton und Finanzen im Überblick.",http://www.faz.net/rss/aktuell/
